,END,Phase,Block,TrialN,NbackLevel,ISI,Letter_Resp,Letter_RT,Letter_Accuracy,Trial_A_measure,Trial_ACC,Trial_RT,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OfflineRatingTimePoint,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,PID,Age,Gender,BAI_bis,BAI_bas_d,BAI_bas_rr,BAI_bas_fs,NFC,BFI_ext,BFI_agr,BFI_con,BFI_neu,BFI_open,UPPS_lps,UPPS_lpm,UPPS_pu,UPPS_ss,Task_A_measure,Task_ACC,Task_RT,Task_RT_z,Task_RT_log,Task_RT_log_z,cue_i_on_zyg_values,cue_i_on_zyg_zvalues,cue_e_on_zyg_values,cue_e_on_zyg_zvalues,cue_i_on_cor_values,cue_i_on_cor_zvalues,cue_e_on_cor_values,cue_e_on_cor_zvalues,cue_i_on_scr_values,cue_i_on_scr_zvalues,cue_e_on_scr_values,cue_e_on_scr_zvalues,cue_e_true_zyg_values,cue_e_true_zyg_zvalues,cue_e_true_cor_values,cue_e_true_cor_zvalues,cue_e_true_scr_values,cue_e_true_scr_zvalues,cue_e_false_zyg_values,cue_e_false_zyg_zvalues,cue_e_false_cor_values,cue_e_false_cor_zvalues,cue_e_false_scr_values,cue_e_false_scr_zvalues,OfflineRating_z,cue_i_off_zyg_values,cue_i_off_zyg_zvalues,cue_i_off_cor_values,cue_i_off_cor_zvalues,cue_i_off_scr_values,cue_i_off_scr_zvalues,DemandRating_z
0,240719_144144,PRACTICE,0.0,1,1.0,1472.0,,,,,,,,,,26.0,1.0,1.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,240719_144528,LEARNING,1.0,1,1.0,1472.0,,,,,,,,,,1.0,1.0,1.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,1.0,1.0,0.5453128222401978,1.1520479848632685,-0.6063956632238815,1.1154561084925498,-1.6219155667674106e-05,0.12206557333734654,-0.00013536053932661045,-1.0732282278618046,-0.00018967235460987542,0.20702378530637056,-0.0009473086754376208,-1.6535235217497226,1.5940000000000003,-0.08447200407010033,,,,,,,,,,,,,,,,,,,,,,
1,240719_144549,LEARNING,1.0,2,3.0,1472.0,,,,,,,,,,2.0,2.0,2.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,0.8194444444444444,0.8333333333333334,0.5409289111202169,1.0707049505466968,-0.614467411505025,1.0447140970440338,-2.6802662862858602e-05,-0.000579884948373224,4.279885285678924e-05,0.5919005388050625,0.000670888528585406,1.747262442222416,0.00011793978129254635,0.06873932020904813,,,1.977,0.6892841925712724,,,,,,,,,,,,,,,,,,,,
2,240719_144609,LEARNING,1.0,3,1.0,1472.0,,,,,,,,,,3.0,3.0,3.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,0.8194444444444444,0.8333333333333334,0.4531892000231892,-0.5572966524426133,-0.7914455805994624,-0.5063490962252208,-0.0002045569224262923,-2.060459679456896,,,-0.00025828562116037793,0.08421921960734244,0.0009793325760157493,1.4614142340377014,,,1.5950000000000002,0.07694335172888661,,,,,,,,,,,,,,,,,,,,
3,240719_144628,LEARNING,1.0,4,3.0,1472.0,,,,,,,,,,4.0,4.0,4.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,1.0,1.0,0.3402771333284262,-2.6523688070868197,-1.0779948953591394,-3.0177102288126827,,,,,-0.0004113529073110113,-0.18974181655206662,,,1.4609999999999999,-0.365122159669125,,,,,,,,,,,,,,,,,,,,,,
4,240719_144648,LEARNING,1.0,5,3.0,1472.0,,,,,,,,,,5.0,5.0,5.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,1.0,1.0,0.457678955539854,-0.47398968588470747,-0.7815873110995988,-0.41994974511424865,,,8.314358517922229e-05,0.9689739759685811,-0.0003158035251086362,-0.018726778585080546,0.00023253337697834442,0.2540109256539451,1.461,-0.3651221596691245,1.464,-0.133047879031199,,,,,,,,,,,,,,,,,,,,
5,240719_144709,LEARNING,1.0,6,1.0,1472.0,,,,,,,,,,6.0,6.0,6.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,1.0,1.0,0.5405483333031751,1.0636433670463696,-0.6151712225832778,1.0385457912915286,,,,,-0.0005196001408541793,-0.3834835690104716,6.886819377373808e-05,-0.010598200766097604,1.957,0.6815130070761067,1.733,0.29815548794943425,,,,,,,,,,,,,,,,,,,,
6,240719_144729,LEARNING,1.0,7,3.0,1472.0,,,,,,,,,,7.0,7.0,7.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,0.8194444444444444,0.8333333333333334,0.4349804888738112,-0.8951574747420489,-0.8324541020630386,-0.8657539232612838,,,-0.00017499990569165265,-1.4437091125234043,-2.500728516828185e-05,0.5017426254841831,-0.00019926160064188177,-0.44410268399393865,,,1.1260000000000001,-0.6748573141221057,,,,,,,,,,,,,,,,,,,,
7,240719_144748,LEARNING,1.0,8,3.0,1472.0,,,,,,,,,,8.0,8.0,8.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,1.0,1.0,0.3829061000012896,-1.8613925751221063,-0.959965489569924,-1.9832828303384418,-8.793210481609654e-05,-0.7089696734030384,-2.058848030147501e-05,-0.000535653250811535,-0.00039772931329184417,-0.16535820051256117,0.0003124005230659716,0.3831378134996562,1.4729999999999999,-0.3398003411188371,,,,,,,,,,,,,,,,,,,,,,
8,240719_144809,LEARNING,1.0,9,1.0,1472.0,,,,,,,,,,9.0,9.0,9.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,48,29,Female,1.0,1.0,0.2,1.5,3.0,2.5,2.5555555555555554,3.111111111111111,2.125,2.111111111111111,0.75,2.0,2.5,1.75,1.0,1.0,0.4995344777513916,0.3026353611134953,-0.6940786587483014,0.34698919684228535,6.904970491449685e-05,1.110191559433886,3.299931886828955e-05,0.5003112841258419,,,,,,,2.822,2.0438077802985397,,,,,,,,,,,,,,,,,,,,
